country,primary,secondary,points,price,province,title,year,variety,winery
Portugal,Fruity,Berry,87,15,Douro,Quinta dos Avidagos 2011 Avidagos Red (Douro),2011,Portuguese Red,Quinta dos Avidagos
US,Woody,Oak,86,40,Virginia,Tarara 2010 #SocialSecret Red (Virginia),2010,Red Blend,Tarara
US,Woody,Oak,88,23,California,Ferrari-Carano 2014 Siena Red (Sonoma County),2014,Red Blend,Ferrari-Carano
Italy,Earthy,Dusty,92,70,Piedmont,Ceretto 2003 Bricco Rocche Prapa (Barolo),2003,Nebbiolo,Ceretto
Italy,Fruity,Fresh,88,25,Northeastern Italy,Tenuta Peter Salva & Sahne 2007 De Silva Sauvignon (Alto Adige),2007,Sauvignon,Tenuta Peter Salva & Sahne
South Africa,Fruity,Berry,90,40,Coastal Region,Delaire Graff 2013 Reserve White (Coastal Region),2013,White Blend,Delaire Graff
Argentina,Fruity,Dried Fruit,85,15,Mendoza Province,Cueva de las Manos 2007 Reserve Malbec (Lujan de Cuyo),2007,Malbec,Cueva de las Manos
US,Woody,Oak,92,125,California,Parallel 2010 Fortune Teller Cabernet Sauvignon (Napa Valley),2010,Cabernet Sauvignon,Parallel
Germany,Earthy,Dusty,97,775,Rheingau,Robert Weil 2014 Kiedrich Grafenberg Trockenbeerenauslese Riesling (Rheingau),2014,Riesling,Robert Weil
US,Fruity,Tree Fruit,96,68,California,Rochioli 2014 South River Chardonnay (Russian River Valley),2014,Chardonnay,Rochioli
US,Woody,Coffee,91,38,California,Le Vigne 2014 Di Domenico Cabernet Sauvignon (Paso Robles),2014,Cabernet Sauvignon,Le Vigne
US,Caramel,Molasses,93,85,California,Les Belles Collines 2012 Les Sommets Cabernet Sauvignon (Napa Valley),2012,Cabernet Sauvignon,Les Belles Collines
France,Fruity,Berry,93,20,Provence,Chateau Vignelaure 2015 Rose (Coteaux d'Aix-en-Provence),2015,Rose,Cha¢teau Vignelaure
Argentina,Woody,Oak,87,11,Mendoza Province,Tilia 2011 Malbec (Mendoza),2011,Malbec,Tilia
France,Fruity,Dried Fruit,92,34,Alsace,Jean-Marc Bernhard 2013 Wineck-Schlossberg Grand Cru Riesling (Alsace),2013,Riesling,Jean-Marc Bernhard
US,Woody,Cedar,83,11,California,Kirkland Signature 2012 Mertiage (Napa Valley),2012,Meritage,Kirkland Signature
US,Woody,Oak,84,25,California,Crossbarn by Paul Hobbs 2009 Chardonnay (Sonoma Coast),2009,Chardonnay,Crossbarn by Paul Hobbs
Chile,Chemical,Diesel,82,20,Leyda Valley,Amayna 2011 Sauvignon Blanc (Leyda Valley),2011,Sauvignon Blanc,Amayna
Italy,Chemical,Tar,80,12,Central Italy,Fattoria Giuseppe Savini 2011 Rondineto Merlot (Colli Aprutini),2011,Merlot,Fattoria Giuseppe Savini
Italy,Caramel,Molasses,100,210,Tuscany,Avignonesi 1995 Occhio di Pernice (Vin Santo di Montepulciano),1995,Prugnolo Gentile,Avignonesi
